id,PSNR_orig,PSNR_fast,PSNR_rl,SSIM_orig,SSIM_fast,SSIM_rl,LPIPS_orig,LPIPS_fast,LPIPS_rl,CLIP_orig,CLIP_fast,CLIP_rl
1742b7a28480f5b68979c94904c86cc672ce2794,,8.313216,10.1039715,,0.4718311077465975,0.5579354420517907,,0.754612386226654,0.6064656972885132,0.354248046875,0.394775390625,0.415771484375
1755b19934cf3dbdd0f0e9c396118858cfc4a2c8,,12.357176,12.966653,,0.4501948881614182,0.4563650382647812,,0.6162893772125244,0.5611164569854736,0.368408203125,0.35791015625,0.363525390625
175650f4ed7ff84e71e6c5b1b3a8a896a2a8dffc,,12.537508,14.843525,,0.5545234869231906,0.6537792223339044,,0.6214780211448669,0.44040578603744507,0.27001953125,0.3046875,0.290771484375
177713053bedb849bddb392e21283abd32ed8a0e,,12.7404,14.433937,,0.5380059239096862,0.6040825849428747,,0.6177703142166138,0.5396291613578796,0.318603515625,0.331298828125,0.357421875
177df4a8c3f410ed2716ff43237f6fe5937727b2,,14.218364,17.843212,,0.5700131756994428,0.6516044269468269,,0.6150546073913574,0.47015509009361267,0.33544921875,0.347412109375,0.33251953125
17ad6e758a8d0fe731a3fd81e935656c4696a245,,11.662588,12.520623,,0.5043355879919024,0.5531191082968058,,0.6260031461715698,0.6120119094848633,0.36669921875,0.373291015625,0.35546875
17b733058df179fc01dd3591dad70cf86e537472,,12.70986,14.126356,,0.7674531386115081,0.7872147208147909,,0.4579089283943176,0.29904645681381226,0.37890625,0.395263671875,0.385986328125
17d980408c2feddac40f31c1057bcdbd3819cb04,,12.679981,12.939833,,0.6442185479667352,0.6970224157861825,,0.5459617376327515,0.5062761902809143,0.3603515625,0.35400390625,0.357666015625
17dbb5a62444235c6949adb4f26020766e93f8ff,,10.500801,13.845206,,0.5806754703105843,0.7189230119392503,,0.688147246837616,0.46487531065940857,0.349853515625,0.329345703125,0.334228515625
17dd4eb2375a82df888c9abdbfb66afc947a2012,,11.191612,11.65962,,0.5187839666655893,0.6253794002227812,,0.7363365888595581,0.5807886123657227,0.410888671875,0.404541015625,0.415283203125
17fe05ecd1b9059baba37e6800ecb1211588d224,,13.439486,15.085317,,0.5452658351279133,0.6025683940238759,,0.5760539770126343,0.5418179035186768,0.325927734375,0.362060546875,0.3525390625
181db8ac1fdb5cc7387e5b7647c2d5e9056ad509,,13.179113,14.456931,,0.5247799391010911,0.6005907697798655,,0.7099047303199768,0.6019948124885559,0.373046875,0.38134765625,0.355712890625
1820d544c7ec3429642f857f1449a23d529dc4ff,,12.641487,13.509224,,0.5265614090763888,0.601973974557122,,0.6162042617797852,0.5453433394432068,0.2401123046875,0.2919921875,0.2470703125
