id,PSNR,SSIM,LPIPS,CLIP
0035db245d3cb77717fc699f3237b178cc34b21e,25.25834,0.8378282599266657,0.11990226805210114,0.341796875
003c48e6f814af7376faa64c24269a84ebf3b5d7,26.243202,0.8414215756335223,0.08913510292768478,0.2822265625
0079b5adbdd29bc38443bfe49db1ae84e02fadf3,22.186466,0.7821831335954306,0.14406009018421173,0.35107421875
008d73dd7f94c758ef7ecdf42686062e231e923b,27.256908,0.9097685574768767,0.05649446323513985,0.28564453125
00d295e36406fdb1ebe961bd2add75e52320ac41,19.224976,0.7371624128218227,0.1567501425743103,0.29443359375
010d3a1ecc9b6e691630660ec5fb547de1017c5b,29.22676,0.8746007119385429,0.08680801093578339,0.277099609375
02547b22cdfd3e710b0c2e01eb5248821728caac,23.813934,0.7522148091685527,0.17180392146110535,0.328125
026a8ad80d60cbf4ed1b8a5a4bbd6e8d759ad83a,24.260643,0.7479410250707956,0.18101274967193604,0.2685546875
026c857c1a813b3457a5d5a3923ee936d9872103,18.83056,0.5895231805255081,0.2093120515346527,0.276611328125
02ecd50bf9837c68eb7649d388bab05a03e58c7d,28.183228,0.9042827295015047,0.07209900766611099,0.230712890625
02f52ee1c402507d3866ce0f9c077afc23a24a4e,24.896755,0.874399847233633,0.10389851033687592,0.324462890625
0320f51aa0fbaf88e2d39c16e1eb291ba98d3787,20.772655,0.7995806644513906,0.1320003718137741,0.338623046875
0365a0066f4849759d1d117b1e632c463a4c3e42,19.877632,0.6116634545925203,0.23025326430797577,0.253173828125
03b0f113c0255a7257ccf1cf0f2b8e90008e9f9f,23.043787,0.7407478539046242,0.14213094115257263,0.385498046875
03b16f49313b9d5197b829e4ddc43d471cb07f46,27.249958,0.8210931705367109,0.09915484488010406,0.3134765625
03b3df7dbb399ae6b4d06c7f9f5bb49db5987ab2,19.169312,0.7280157410717534,0.12858346104621887,0.4296875
03b4dc954014f767730adeabcd4f12fe19af5c27,24.359955,0.8383493171178394,0.1124870702624321,0.310791015625
03bbc2be922471f4709df9dc0fc9355bc82126b3,21.842451,0.7050892006378423,0.15970082581043243,0.35205078125
042e1b53b3385a2298722bfae61f34e2f14943c9,22.067738,0.832010249517744,0.092836394906044,0.2744140625
048d538dbc6625ff6bc70e56114d29d799e35566,26.326124,0.8620857513002543,0.1132490411400795,0.350341796875
04c27123ef8cb70e56ae2300d0429c07550d7e1f,22.300463,0.7219047816659291,0.1754455268383026,0.312744140625
04ef75eac63306ef923ebd3085729bea2a035bbb,24.935822,0.8301000558802265,0.14962247014045715,0.25244140625
052f24f5a23f332a5a58ad4b6dd3192b89a54e60,24.49284,0.856062265389066,0.0678827241063118,0.35693359375
0578fba88eddfd13cd518aa059223f46a05b6764,22.387493,0.811462872280256,0.15824998915195465,0.349609375
05842f36539f9af7a3706532aa70e7a3971de27f,23.03567,0.7804491448135001,0.12318350374698639,0.298583984375
05c240186479e3d16639993e8e3dc9786be89763,21.178543,0.723318948328206,0.19135135412216187,0.3056640625
060a1018262eae228de79a722ca9738b389bbbe6,21.127604,0.7353755852192658,0.142878457903862,0.299560546875
06624ed279696113c8aedf07fe0280a6c0da4591,24.081638,0.8231880958451692,0.11448942124843597,0.349853515625
067f885b2660acf44ed1d2b3f1f7e1b5c1e19fef,23.679085,0.8692300776506027,0.11630426347255707,0.370361328125
06d23b5b01af59875c12ce932c41bcac4cc0d6ed,22.189571,0.6685315510206155,0.14826692640781403,0.31591796875
06d638beb91d5bbdd506313ab2747eaae165adb1,20.513279,0.6670271486519641,0.20585253834724426,0.283935546875
076e41d130f72aa50193a3f54cd773e13fdab569,21.72283,0.7773790127478124,0.14955377578735352,0.331298828125
0771cb4eedae6fd8bbf86af860b7c14eb7658b6e,22.341919,0.755717683675425,0.1728825718164444,0.368408203125
07bc46ba33890f5f607d133698f6f54987eeb0dd,21.43244,0.7453941958669811,0.14850841462612152,0.2978515625
08044ad2bbc537daa74c3687fc45e43645e852fa,26.978456,0.8699030964399151,0.09023153781890869,0.39013671875
08111893f3f2e99c134af50a5113b279d6e2dfe2,25.408602,0.8378401778490874,0.10545852780342102,0.297119140625
0811d02c59639993840d656ef1b945423b9aceb8,22.077847,0.782154366033501,0.1576286256313324,0.2724609375
08389fec32da7110b1faa2bd73f10211167374c4,20.042042,0.7351862745315875,0.1594419628381729,0.3134765625
0939cb0f610f3541499be521ae43d226d4fa4d48,26.389723,0.8529112276473274,0.11994632333517075,0.323974609375
