,PSNR,SSIM,LPIPS,CLIP
FAST,11.795154571533203,0.5048777321187113,0.6540835347175599,0.3271197509765625
RL,13.241499900817871,0.5740107850693698,0.5577149223089218,0.3264383544921875
ORIGINAL,0.0,0.0,0.0,0.3263258056640625
