id,PSNR_orig,PSNR_fast,PSNR_rl,SSIM_orig,SSIM_fast,SSIM_rl,LPIPS_orig,LPIPS_fast,LPIPS_rl,CLIP_orig,CLIP_fast,CLIP_rl
1d7425378cbe029537e1ec4b78fb4dfacc39e217,,23.35992444413251,24.547898440450304,,0.7854239720847097,0.8109262378101313,,0.14288215339183807,0.10957571864128113,0.301513671875,0.30615234375,0.300048828125
2176d948af3c2339735b1e59258d54ad99571fe6,,23.030800286106633,23.716771944910484,,0.7424470545828402,0.7673352532417358,,0.12000636011362076,0.09505780786275864,0.333251953125,0.3359375,0.324951171875
3b09681b9550b67b565fc241889234cd57f5e79c,,25.230398781649697,26.723642875322824,,0.8574298912952721,0.8807984124274468,,0.09762303531169891,0.07125808298587799,0.334228515625,0.33251953125,0.330810546875
3f5f8f71d06408fbe1ca4a8d6dcd811478f79a0e,,24.957322710498605,26.539563905547165,,0.82183019672825,0.8521787798260236,,0.11905787885189056,0.08089067041873932,0.28369140625,0.304443359375,0.3330078125
529bb08b209f976db1dd09a228c793290aedfe99,,21.536035292314523,23.385155884581845,,0.6956251758162616,0.745702098202598,,0.1707615852355957,0.12191072851419449,0.361328125,0.317138671875,0.343505859375
5cb019e15c6270661ed1ed49b708181710b0a006,,22.209533638763514,24.09580391564752,,0.7805405540300184,0.8169214728827464,,0.15686409175395966,0.10980812460184097,0.451416015625,0.43310546875,0.467041015625
6441a901ff944fee38d8d1b11d3302ffccb1d5c4,,24.468858475028668,26.555130193604526,,0.8519683454733444,0.875694988233994,,0.08858264982700348,0.06352021545171738,0.373779296875,0.361572265625,0.37353515625
770c762184ab23a162d0700ccc65a773e85696e1,,22.058928198871893,24.4347511180474,,0.6785693751402908,0.7476235249151237,,0.21515293419361115,0.12337715178728104,0.33544921875,0.336181640625,0.3330078125
777301f951a15f340f19587be055b552b381ee52,,27.992115613999594,29.14916883687787,,0.8390721098501848,0.8562376797462358,,0.10251643508672714,0.07696706056594849,0.329345703125,0.332275390625,0.330322265625
7f22cea795318dab30635f080b5cb72cdfc59b85,,17.792320997258248,19.171331395093762,,0.6027239872783411,0.6506591949317412,,0.18682527542114258,0.14393676817417145,0.35107421875,0.341796875,0.34814453125
99b272ae23876c2a554b2b4a5a584bd7cb74d330,,23.879450649756976,27.051795268022776,,0.7961576070669354,0.850691144902714,,0.13060598075389862,0.07006967067718506,0.33740234375,0.330078125,0.332763671875
a25956c536b45e8982aff1554bd863348bc0f0fb,,23.378555912712677,24.247812989880796,,0.7334762286009558,0.7549494856816539,,0.12285777926445007,0.0970543622970581,0.28466796875,0.292724609375,0.281494140625
aaf0de4024c34ec7892d25b49acb2972216e0df0,,25.131330665242146,26.468017506289605,,0.6912239385598958,0.7080303271281391,,0.17902638018131256,0.1399771273136139,0.349365234375,0.3447265625,0.347412109375
ac149c14b326c82c9831c4f724828a93ff1fb424,,24.243300112159297,26.930517096413876,,0.8852440119771492,0.9122340812479056,,0.08308619260787964,0.0558118037879467,0.382568359375,0.363525390625,0.376953125
b17680474b0407bf4732db4a6f91a33209837052,,22.481844076887462,24.75946167743706,,0.8417233621046396,0.8729341768648462,,0.12174779921770096,0.08500737696886063,0.376708984375,0.379150390625,0.377685546875
b7aaee5d323fa468366fd31dd0f4c2a59d8348b0,,23.638426233587282,25.35165641341411,,0.7452092418907674,0.7850746324038925,,0.13521820306777954,0.09595257043838501,0.341064453125,0.34619140625,0.339111328125
d2c539a4e5ce2d9f2906fc1a0678e57200920dd0,,25.827501746576385,28.334285981554466,,0.9041888961572045,0.9281469465571713,,0.10656207799911499,0.06464420258998871,0.365478515625,0.36376953125,0.374755859375
dd6603d528ca9f4f332b5e40a5c717cc2a69a0a6,,22.543177220601997,23.924938116154834,,0.8285675227151246,0.8499403861899207,,0.13425561785697937,0.10223139077425003,0.34765625,0.34375,0.350830078125
e99e57084b8819fdd2b26daa6e735ed2db7ed558,,19.493880722930847,21.998666791780114,,0.7515617326313908,0.808458589225124,,0.1559073030948639,0.10646623373031616,0.3076171875,0.318115234375,0.302978515625
fa1b1b4a6a357acfde3bd359c045f946c3fe3b7c,,25.892258687070967,28.04766169908229,,0.8564543793793168,0.8916969321095114,,0.1151849627494812,0.08100872486829758,0.3291015625,0.31787109375,0.32080078125
