id,PSNR,SSIM,LPIPS,CLIP
1d7425378cbe029537e1ec4b78fb4dfacc39e217,24.547898440450304,0.8109262378101313,0.10957571864128113,0.300048828125
2176d948af3c2339735b1e59258d54ad99571fe6,23.716771944910484,0.7673352532417358,0.09505780786275864,0.324951171875
3b09681b9550b67b565fc241889234cd57f5e79c,26.723642875322824,0.8807984124274468,0.07125808298587799,0.330810546875
3f5f8f71d06408fbe1ca4a8d6dcd811478f79a0e,26.539563905547165,0.8521787798260236,0.08089067041873932,0.3330078125
529bb08b209f976db1dd09a228c793290aedfe99,23.385155884581845,0.745702098202598,0.12191072851419449,0.343505859375
5cb019e15c6270661ed1ed49b708181710b0a006,24.09580391564752,0.8169214728827464,0.10980812460184097,0.467041015625
6441a901ff944fee38d8d1b11d3302ffccb1d5c4,26.555130193604526,0.875694988233994,0.06352021545171738,0.37353515625
770c762184ab23a162d0700ccc65a773e85696e1,24.4347511180474,0.7476235249151237,0.12337715178728104,0.3330078125
777301f951a15f340f19587be055b552b381ee52,29.14916883687787,0.8562376797462358,0.07696706056594849,0.330322265625
7f22cea795318dab30635f080b5cb72cdfc59b85,19.171331395093762,0.6506591949317412,0.14393676817417145,0.34814453125
99b272ae23876c2a554b2b4a5a584bd7cb74d330,27.051795268022776,0.850691144902714,0.07006967067718506,0.332763671875
a25956c536b45e8982aff1554bd863348bc0f0fb,24.247812989880796,0.7549494856816539,0.0970543622970581,0.281494140625
aaf0de4024c34ec7892d25b49acb2972216e0df0,26.468017506289605,0.7080303271281391,0.1399771273136139,0.347412109375
ac149c14b326c82c9831c4f724828a93ff1fb424,26.930517096413876,0.9122340812479056,0.0558118037879467,0.376953125
b17680474b0407bf4732db4a6f91a33209837052,24.75946167743706,0.8729341768648462,0.08500737696886063,0.377685546875
b7aaee5d323fa468366fd31dd0f4c2a59d8348b0,25.35165641341411,0.7850746324038925,0.09595257043838501,0.339111328125
d2c539a4e5ce2d9f2906fc1a0678e57200920dd0,28.334285981554466,0.9281469465571713,0.06464420258998871,0.374755859375
dd6603d528ca9f4f332b5e40a5c717cc2a69a0a6,23.924938116154834,0.8499403861899207,0.10223139077425003,0.350830078125
e99e57084b8819fdd2b26daa6e735ed2db7ed558,21.998666791780114,0.808458589225124,0.10646623373031616,0.302978515625
fa1b1b4a6a357acfde3bd359c045f946c3fe3b7c,28.04766169908229,0.8916969321095114,0.08100872486829758,0.32080078125
