,PSNR,SSIM,LPIPS,CLIP
FAST,23.457298223307497,0.7844718791681446,0.13423623479902744,0.34005126953125
RL,25.27170160250568,0.8183117172264328,0.09472628962248564,0.3444580078125
ORIGINAL,0.0,0.0,0.0,0.34383544921875
