id,PSNR,SSIM,LPIPS
0035db245d3cb77717fc699f3237b178cc34b21e,13.087477942508176,0.5754797350175647,0.5645815134048462
003c48e6f814af7376faa64c24269a84ebf3b5d7,11.676311026083043,0.55132546569267,0.48617029190063477
0079b5adbdd29bc38443bfe49db1ae84e02fadf3,15.223037809612094,0.6032340693030952,0.5346601009368896
008d73dd7f94c758ef7ecdf42686062e231e923b,12.189753664017516,0.7703712693181828,0.3450798988342285
00d295e36406fdb1ebe961bd2add75e52320ac41,11.269252136235973,0.4667099879361627,0.672642707824707
010d3a1ecc9b6e691630660ec5fb547de1017c5b,18.559035274181415,0.7573092019726279,0.28782105445861816
02547b22cdfd3e710b0c2e01eb5248821728caac,16.629162053822185,0.6247309227421012,0.512780487537384
026a8ad80d60cbf4ed1b8a5a4bbd6e8d759ad83a,14.75202918600948,0.5485897646385988,0.5725082755088806
026c857c1a813b3457a5d5a3923ee936d9872103,10.644680113877849,0.32170701941759483,0.7368760704994202
02ecd50bf9837c68eb7649d388bab05a03e58c7d,14.995933657196495,0.7085745347685517,0.41022956371307373
02f52ee1c402507d3866ce0f9c077afc23a24a4e,12.219618917825253,0.5940988576447981,0.5363281965255737
0320f51aa0fbaf88e2d39c16e1eb291ba98d3787,11.22626757912317,0.613003839156205,0.5884626507759094
0365a0066f4849759d1d117b1e632c463a4c3e42,12.361112592610448,0.3224378520699755,0.6360224485397339
03b0f113c0255a7257ccf1cf0f2b8e90008e9f9f,12.538807402061645,0.5091785621671803,0.5718801021575928
03b16f49313b9d5197b829e4ddc43d471cb07f46,16.978490006723447,0.743543915759847,0.48620960116386414
03b3df7dbb399ae6b4d06c7f9f5bb49db5987ab2,11.937235612489715,0.5739480908330737,0.4904351532459259
03b4dc954014f767730adeabcd4f12fe19af5c27,13.892793381102681,0.5876845285570267,0.5538913011550903
03bbc2be922471f4709df9dc0fc9355bc82126b3,13.48147175636035,0.5458737345650357,0.5853254795074463
042e1b53b3385a2298722bfae61f34e2f14943c9,13.186425174466956,0.6359225579917249,0.47267580032348633
048d538dbc6625ff6bc70e56114d29d799e35566,14.55068850150429,0.6599646831941038,0.5599243640899658
04c27123ef8cb70e56ae2300d0429c07550d7e1f,14.50758819994384,0.6285948318606842,0.6394631266593933
04ef75eac63306ef923ebd3085729bea2a035bbb,15.81615523110814,0.690910578053432,0.5289500951766968
052f24f5a23f332a5a58ad4b6dd3192b89a54e60,12.505159036365312,0.680483260764475,0.5100588202476501
0578fba88eddfd13cd518aa059223f46a05b6764,14.042174288016389,0.6475444312883742,0.601775586605072
05842f36539f9af7a3706532aa70e7a3971de27f,13.885632030805592,0.6066269421195143,0.4900989234447479
05c240186479e3d16639993e8e3dc9786be89763,11.908497030279165,0.5111960550090373,0.6258243918418884
060a1018262eae228de79a722ca9738b389bbbe6,12.403121626163058,0.5594902652761097,0.5544390678405762
06624ed279696113c8aedf07fe0280a6c0da4591,13.6029991697464,0.6029387013041332,0.5860087871551514
067f885b2660acf44ed1d2b3f1f7e1b5c1e19fef,9.859309711995216,0.5912246708801141,0.6380878686904907
06d23b5b01af59875c12ce932c41bcac4cc0d6ed,14.934165527876434,0.5061166700776377,0.6022314429283142
06d638beb91d5bbdd506313ab2747eaae165adb1,12.474621269205644,0.5002966309631686,0.6575285196304321
076e41d130f72aa50193a3f54cd773e13fdab569,12.717870307855444,0.544535445454817,0.6456391215324402
0771cb4eedae6fd8bbf86af860b7c14eb7658b6e,14.821930473363885,0.5910401421203169,0.5459016561508179
07bc46ba33890f5f607d133698f6f54987eeb0dd,14.763394025892438,0.6433950737533051,0.5121321082115173
08044ad2bbc537daa74c3687fc45e43645e852fa,10.690089796543171,0.5443002196914059,0.6046125292778015
08111893f3f2e99c134af50a5113b279d6e2dfe2,15.136189232160383,0.6433728608952252,0.5139439105987549
0811d02c59639993840d656ef1b945423b9aceb8,12.03016699129709,0.5365609206017493,0.6531005501747131
08389fec32da7110b1faa2bd73f10211167374c4,12.766123683114758,0.5251802054614104,0.5259621143341064
0939cb0f610f3541499be521ae43d226d4fa4d48,14.8964067296132,0.6749226344000206,0.5021282434463501
095af2c2ed3927d532e0acfb363ef9223bfbfdb8,11.967804552260862,0.43233260509577515,0.6313623189926147
096d1d6b7b6a9ddbc7207795f793d80efc7c0569,13.979908473235517,0.6970291096495319,0.3200097680091858
099fd2da5aa25f4515320b0b6391eec98f5d81b7,11.00081759557714,0.6165192280340963,0.5712945461273193
09daa7a8b2f4f63fdb8e7ef81b32e7da21ac6f25,13.088960870667478,0.512003002008961,0.5883610844612122
0a8e659015ee8800e062bcf4815ff0060a3348c9,12.471979951047311,0.5043279002475706,0.5914052128791809
0ad39ae49da565eb9c27d7ce6e1cf6049e5e73e0,13.734741835241778,0.6892623782391031,0.4765949249267578
0b52e5116935fa7826d83f62cea4f39de98753ca,14.970682723290683,0.6075579836679874,0.5267907381057739
0b5c7f8a15f4eefc34e13226ef3e2ec31bfb7398,12.623278516410686,0.5902853966302959,0.5730000138282776
0b838cabc2b733ce7293464e6169e169bdc916c5,12.174453097411115,0.5637854280751579,0.6368850469589233
0b97a481ac295f07a7929dd3e48efe41b6802b17,10.60330771747011,0.44563807681832984,0.6411031484603882
0bd4f279d88f41665133fe7807eed98c8b2bcee5,16.524446343593205,0.5799481611515013,0.5324723720550537
0c5a5412dff5ae4ab944bcc742a737a9d3e8904e,12.500604679402745,0.5411453686597169,0.6158031225204468
0df0edd003091ba53dd311d1b5b29ec07b911b0f,14.993752382866587,0.4486113711121407,0.6642419099807739
0f1fce02fb7c68cbafa6560c1a5cf598b859c1ab,14.393557045238692,0.6340709842126712,0.6000015735626221
0f49e2876229d22cb6c393ce3dfe7b5c3927fdc0,12.325363569665013,0.5237735981473675,0.753349244594574
0f60d4cfc3a8813680e4e2050d20f9eda157a75c,13.892919845835172,0.7319573408795269,0.4061136245727539
0f72a85a007edef0afa270876f2a4e2f26103f12,15.150823599967037,0.6294049910231427,0.4336385726928711
0fd9dfd7c8cb268fe597ffb59bde1b8e99094580,13.04248235267088,0.5402524273921415,0.6049554944038391
0fdfe851dc600e234afc2fd50927597d2979694b,11.504888622493537,0.5318475767643506,0.588540256023407
102a8784d44ee8ba126cee62fb856aa1a094b236,12.057953854802289,0.5423141994946917,0.5911129117012024
